# Id,E(Ry),Eat(Ry)
1,-282.05884841,-12.71530841
3,-227.35462937,-8.39983337000001
4,-100.25856084,-5.42322784
5,-249.13591285,-7.41006985000001
7,-195.12560953,-10.04867353
8,-220.27473627,-8.92410027
9,-405.07133414,-11.82335514
12,-213.09949001,-7.25564201
16,-276.99494279,-16.00097279
17,-246.36021193,-8.74535592999999
18,-316.16771695,-8.97456195000001
19,-225.0874284,-7.96822839999999
20,-253.70219829,-10.36110229
21,-217.88645794,-8.37141794000001
22,-203.56611253,-7.16202053000001
23,-279.97081886,-9.18472586000001
25,-427.49755206,-15.33570206
26,-389.08841568,-13.76899468
28,-234.50626325,-8.16675924999998
29,-162.68045239,-5.17383738999999
30,-200.84653813,-7.67827113000001
31,-325.98772873,-10.35757573
32,-292.2610866,-8.79941259999998
36,-265.83397902,-10.03675402
37,-285.00732882,-9.14981482000002
38,-217.85256266,-8.33752265999999
39,-181.87111764,-7.36291064
40,-253.7871448,-9.26527179999999
43,-237.22281233,-7.64748333
45,-208.55583207,-5.20239907000001
47,-184.28715924,-7.94335623999999
48,-222.58513689,-7.52098488999999
49,-169.97201695,-6.73916195000001
50,-318.59300329,-9.56425229000001
51,-234.81859465,-7.07886164999999
58,-155.65777678,-5.53586978000001
59,-294.9880939,-7.41543290000004
61,-412.69734995,-9.56981995000001
63,-181.50284705,-8.61432105
67,-316.18154157,-8.98838656999999
68,-407.6719293,-11.4937403
69,-227.39825784,-8.44346184000003
70,-184.29011227,-7.94630927
71,-249.13131685,-8.28063584999998
72,-225.07922532,-7.96002532
75,-97.85240157,-4.85266457
77,-265.83068238,-10.03345738
79,-116.60405762,-6.12503762
80,-260.98968487,-8.86365187000001
86,-212.85194458,-8.40832558
87,-158.05884322,-6.10134022
89,-308.33491019,-12.72715019
91,-220.10987143,-9.94001243
93,-249.14192927,-8.29124826999998
95,-318.58289745,-9.55414645000002
96,-155.66709428,-5.54518727999999
98,-164.11967868,-4.58666267999999
101,-157.81967876,-7.04295275999999
102,-160.20178614,-7.58946413999999
104,-213.11107004,-7.26722203999998
105,-292.60740725,-6.87034225000002
106,-282.79963273,-7.90255272999997
107,-186.51105075,-9.51242875
108,-179.22098355,-7.94860155000001
109,-221.46297423,-6.42746922999999
110,-231.26863857,-5.39314856999999
111,-198.48364874,-7.37042974000002
113,-340.5077087,-8.48845870000002
114,-207.8598405,-10.3655625
116,-320.4417019,-12.1583609
117,-181.44356296,-6.67711696000001
118,-112.16948582,-6.05880082
119,-145.83616195,-6.55423994999998
120,-210.70268991,-6.69443791
123,-188.27339423,-9.40038923
124,-203.54689746,-7.14280546000001
125,-160.20337889,-7.59105689
126,-157.82589344,-7.04916743999999
127,-205.78752532,-8.72861431999999
128,-222.27561156,-8.61168855999998
129,-119.45559956,-7.61867456
130,-361.83182682,-10.19208282
131,-433.53358358,-15.46393758
135,-191.48345642,-7.53549342000002
137,-191.35346435,-7.62495335
138,-160.15339304,-7.76052304000001
142,-336.4006637,-14.3127687
144,-286.67445938,-12.96258438
145,-316.27458216,-9.08142716000003
150,-344.93430296,-10.64408996
155,-248.37054148,-8.66185048000003
156,-161.77615316,-8.47022516000001
157,-318.60058422,-9.57183321999997
162,-273.63002106,-11.22214506
164,-243.45222708,-9.29264807999999
167,-159.2435778,-7.77324579999998
171,-228.68940024,-10.44122724
174,-98.16265479,-3.76268879
176,-95.85801241,-3.29364241
177,-62.19056339,-2.79743039
178,-83.6260122,-3.7372232
179,-124.42091008,-5.63464408
180,-76.53093305,-4.02685205
185,-284.87991483,-10.42262983
186,-213.52597162,-5.40673262000001
189,-224.97119788,-8.07144988000002
190,-166.46875762,-7.61371761999999
196,-217.96749008,-8.45245008000001
199,-157.00474855,-9.46738454999999
203,-272.42994149,-8.98976948999996
204,-236.46099348,-8.02765448000002
205,-179.40407122,-6.95091221999999
206,-287.36524133,-9.67213133000001
207,-205.63859587,-8.79913686999998
208,-405.06465931,-11.81668031
215,-97.87449277,-4.87475577000001
216,-294.11808898,-10.74611498
218,-262.21293829,-10.79352829
219,-177.02541323,-6.40785023000001
222,-23.75094672,-1.41969472
226,-88.27064644,-3.61605143999999
227,-179.25921632,-7.98683432000001
229,-239.47027828,-8.05935328000001
230,-357.16247825,-10.19668425
232,-236.16071029,-11.00552029
236,-198.43885303,-7.32563403
239,-131.52022859,-5.34925458999999
240,-124.22147907,-6.61599007
241,-78.71208762,-5.55318762
243,-157.87968493,-7.10295893
244,-126.60525449,-7.16416948999999
247,-160.02456548,-7.63169548000002
254,-222.25324754,-11.42856954
261,-90.8238561,-5.20882709999999
262,-126.81296521,-6.19110321000001
263,-93.21817375,-5.76754875
264,-124.49066076,-5.70439476
266,-242.17452005,-7.83338505
273,-116.65085729,-8.26920929000001
275,-255.34113713,-10.12565813
277,-102.93659757,-2.98751957
278,-220.60786317,-5.10391616999999
279,-277.62271328,-8.89166828000003
280,-79.17900827,-1.56118227
281,-45.42937825,-0.982789249999996
282,-255.96252288,-10.78583088
284,-81.51804193,-2.06461992999999
286,-150.66591226,-4.43464925999999
288,-222.14527166,-10.35926866
289,-145.90750348,-6.40612948
296,-155.65664956,-5.53474256000001
297,-16.70154708,-1.75500308
306,-332.66276292,-11.70384092
307,-150.43264387,-8.44085486999998
308,-152.81284957,-8.98546457
309,-280.36759607,-8.18127406999997
310,-213.12052129,-7.27667328999999
311,-316.34899945,-9.15584445000002
322,-217.69112634,-9.35686334000002
323,-181.70197898,-8.37454898000001
325,-169.55701862,-10.78308962
326,-167.17869829,-10.24036529
328,-239.35759748,-9.12744948
329,-360.67923635,-11.25167435
331,-195.82222156,-9.82274756000001
332,-186.37912974,-9.38050773999998
335,-126.63321998,-7.19213498000001
336,-217.73042333,-6.55691533000001
337,-205.88969863,-7.65001063
338,-191.46439882,-7.51643582000003
339,-170.03157397,-5.92355697000002
340,-160.2320866,-7.6197646
342,-126.63479475,-7.19370975
344,-248.9802779,-8.1295969
345,-294.6688259,-9.37155589999998
346,-397.27498712,-15.08733612
349,-284.97257757,-9.11506357000002
355,-236.95776799,-8.56321599
358,-205.64670769,-8.80724868999999
359,-179.5084033,-6.83579230000001
361,-181.86231169,-7.35410469000001
362,-198.33584551,-10.06187151
363,-83.53024512,-3.64145612
364,-152.85284082,-6.18621082000001
366,-289.48226482,-12.31511282
370,-258.67980401,-8.38936701
371,-184.38104867,-4.75909667000002
372,-289.86406985,-8.23799185000001
374,-325.82863177,-9.19572077000004
376,-217.90109135,-8.38605135
378,-316.00465782,-9.11711781999998
384,-267.92150165,-11.68890965
389,-181.49524668,-8.60672068
391,-440.71570433,-19.10335333
392,-195.8165883,-9.81711430000001
393,-436.28835126,-11.70473126
397,-205.19029822,-10.93184522
398,-131.34219051,-5.17121650999999
399,-292.2502418,-8.78856780000001
400,-191.14596309,-8.59822909000002
401,-150.33475681,-5.50372281
402,-25.17544361,-0.817790609999999
403,-133.67528781,-6.84949480999998
404,-229.2966571,-10.1259461
408,-207.532531,-11.438482
409,-209.70461001,-11.77496501
412,-161.95507485,-10.30761485
413,-193.22460632,-10.24150532
414,-241.11051174,-11.84522574
415,-241.11988123,-11.85459523
